"pseudo_user","rides_count","avg_length","conversion_potential"
"KA1503000004","1259","44.42","High"
"15632","1250","18.75","High"
"15622","1241","26.08","High"
"KA1504000156","1221","19.69","High"
"15642","1217","22.04","High"
"SL-013","1207","25.79","High"
"23002","1173","16.70","High"
"SL-006","1170","28.01","High"
"20254.0","1165","10.90","Medium"
"15644","1160","17.96","High"
"18017","1139","30.69","High"
"13245","1136","15.58","High"
"TA1308000046","1135","21.61","High"
"TA1307000044","1126","18.46","High"
"TA1309000015","1124","21.13","High"
"KA1503000070","1122","25.56","High"
"TA1309000032","1118","17.82","High"
"KA1504000140","1112","16.86","High"
"605","1111","27.91","High"
"15643","1108","21.71","High"
"660","1100","29.85","High"
"TA1308000013","1095","16.20","High"
"22004","1095","13.09","High"
"20.0","1093","13.67","High"
"TA1309000055","1087","17.45","High"
"15624","1075","20.03","High"
"TA1306000002","1056","16.41","High"
"KA17018054","1028","16.38","High"
"13080","1019","18.16","High"
"TA1309000018","1019","17.86","High"
"KA1504000093","1013","15.53","High"
"515","1005","15.03","High"
"15640","997","22.58","High"
"TA1307000129","994","23.42","High"
"15634","987","17.90","High"
"KA1503000005","981","21.96","High"
"13307","979","17.77","High"
"644","959","15.32","High"
"435","959","14.17","High"
"15628","954","20.05","High"
"15623","948","15.93","High"
"13081","945","18.41","High"
"13326","942","17.41","High"
"18069","935","12.33","High"
"410","899","12.71","High"
"13304","898","19.43","High"
"13217","895","19.95","High"
"15654","891","16.31","High"
"15631","889","18.69","High"
"KA1504000117","881","17.27","High"
"TA1308000035","880","34.69","High"
"RP-008","862","15.32","High"
"15668","858","25.91","High"
"13285","858","14.47","High"
"13162","854","15.56","High"
"525","851","15.83","High"
"20256.0","843","10.20","Medium"
"KA1504000080","832","23.18","High"
"13089","827","19.83","High"
"15445","825","17.22","High"
"KA1504000078","825","19.30","High"
"KA1504000158","824","17.86","High"
"TA1308000043","823","21.53","High"
"15615","818","19.93","High"
"13331","815","16.93","High"
"655","801","17.61","High"
"KA1503000038","790","17.22","High"
"KA1504000159","755","32.10","High"
"631","749","33.74","High"
"TA1307000005","747","26.12","High"
"15442","747","15.53","High"
"TA1308000026","742","32.35","High"
"20251.0","737","10.85","Medium"
"KA1504000142","736","15.46","High"
"13215","736","38.00","High"
"643","723","18.19","High"
"KA1504000126","710","19.83","High"
"TA1308000036","699","27.66","High"
"TA1308000002","696","29.12","High"
"20257.0","692","11.20","Medium"
"22002","688","15.22","High"
"KA1504000139","685","19.90","High"
"15621","680","16.61","High"
"TA1308000045","677","20.74","High"
"KA1504000160","673","20.81","High"
"KA1504000147","667","17.25","High"
"15652","666","30.60","High"
"523","653","21.85","High"
"661","652","23.16","High"
"431","650","13.29","High"
"E006","647","21.67","High"
"KA1504000096","641","23.19","High"
"20253.0","632","12.92","High"
"15667","622","25.02","High"
"15491","613","48.19","High"
"15666","610","21.82","High"
"472","604","15.76","High"
"KA1503000002","602","42.36","High"
"RP-005","600","13.85","High"
"13091","591","16.04","High"
"592","587","21.37","High"
"13345","584","28.88","High"
"TA1307000153","578","26.26","High"
"KA1503000065","578","30.90","High"
"KA1504000127","576","18.52","High"
"22003","575","17.07","High"
"TA1307000160","570","21.77","High"
"TA1308000038","568","48.61","High"
"382","565","8.72","Medium"
"517","560","14.69","High"
"446","555","12.11","High"
"15542","538","22.70","High"
"KA1503000068","534","21.92","High"
"chargingstx2","534","10.27","Medium"
"TA1309000067","524","20.47","High"
"KA1504000128","521","25.41","High"
"436","519","13.08","High"
"16010","516","20.21","High"
"433","509","14.58","High"
"E007","505","26.22","High"
"600","490","12.54","High"
"KA1504000097","486","22.87","High"
"432","479","12.56","High"
"429","477","13.25","High"
