"station_id","station_name","lat","lng","start_count","start_count_member","start_count_casual"
"TA1305000029","State St & Randolph St","41.8846209238376153","-87.6278647926393958","16794","10481","6313"
"TA1305000025","Franklin St & Jackson Blvd","41.8777202617300037","-87.6353071555317660","16775","11212","5563"
"TA1308000022","Pine Grove Ave & Irving Park Rd","41.9543786458357737","-87.6480480500903609","16649","11253","5396"
"TA1307000136","Clark St & Wellington Ave","41.9364965328115567","-87.6475528248446525","16579","10687","5892"
"13277","Broadway & Belmont Ave","41.9400980048316665","-87.6454624284068507","16499","10663","5836"
"TA1309000037","Kimbark Ave & 53rd St","41.7995670869740182","-87.5947440256524047","16249","11241","5008"
"TA1306000026","Racine Ave & Fullerton Ave (Temp)","41.9255766970677250","-87.6584355084834821","16222","11794","4428"
"13276","Stockton Dr & Wrightwood Ave","41.9313169817744045","-87.6387380581007811","16090","9973","6117"
"TA1307000111","Franklin St & Lake St","41.8858318632955177","-87.6354959137230425","16037","11562","4475"
"TA1309000007","Franklin St & Monroe St","41.8802662325175942","-87.6352838433240004","16013","12666","3347"
"13323","Broadway & Sheridan Rd","41.9528016952033395","-87.6500031496895975","15976","10827","5149"
"13033","Milwaukee Ave & Grand Ave","41.8915824287738211","-87.6483588002554283","15955","10363","5592"
"KA1503000012","Clark St & Lake St","41.8860043046303880","-87.6309122792162611","15946","10855","5091"
"KA1504000133","Rush St & Cedar St","41.9023227629643741","-87.6277186323713358","15887","10507","5380"
"TA1309000004","LaSalle St & Jackson Blvd","41.8781367557660228","-87.6318938792756937","15735","12021","3714"
"TA1309000035","Clark St & Winnemac Ave","41.9733414517393778","-87.6678478757441395","15731","10237","5494"
"13192","Halsted St & Dickens Ave","41.9199473987502459","-87.6488396987138372","15672","10056","5616"
"13056","Canal St & Monroe St","41.8816890113270557","-87.6395157498660139","15670","11954","3716"
"TA1307000139","MLK Jr Dr & 29th St","41.8420558438363299","-87.6169865742528171","15644","14013","1631"
"TA1307000107","Sheridan Rd & Montrose Ave","41.9616438638981049","-87.6546391551586175","15303","10718","4585"
"13050","State St & Kinzie St","41.8892670476110691","-87.6271364959035561","15274","10101","5173"
"23003","Halsted St & Fulton St","41.8872810019448056","-87.6483601256119151","15059","9711","5348"
"KA1503000041","McClurg Ct & Erie St","41.8944987503106485","-87.6179243322764010","15034","10437","4597"
"13379","Clarendon Ave & Gordon Ter","41.9578488403762551","-87.6495040854364243","15009","10658","4351"
"13191","Sedgwick St & Webster Ave","41.9221661626540204","-87.6389070288014281","14997","9957","5040"
"TA1307000038","Sedgwick St & North Ave","41.9113743417377803","-87.6386799226764994","14901","9672","5229"
"13157","Aberdeen St & Jackson Blvd","41.8777398041572109","-87.6547974018086159","14893","11085","3808"
"15530","Rush St & Superior St","41.8957472875054116","-87.6259721266769668","14860","10238","4622"
"TA1307000062","Sedgwick St & Huron St","41.8946621242772427","-87.6384040930489998","14849","10803","4046"
"13017","Franklin St & Chicago Ave","41.8967565564839357","-87.6356869419612555","14265","10156","4109"
"TA1305000030","Clark St & Randolph St","41.8845829000971870","-87.6318460327118754","14258","10000","4258"
"13138","Canal St & Jackson Blvd","41.8772660963409380","-87.6393966743497867","14245","10407","3838"
"TA1307000006","Southport Ave & Wellington Ave","41.9357698149997496","-87.6635987473144140","14168","9283","4885"
"TA1307000064","Lincoln Ave & Diversey Pkwy","41.9322114147080664","-87.6586495329879355","14052","9321","4731"
"13154","Sheffield Ave & Kingsbury St","41.9105379042433954","-87.6531317920092610","14047","10034","4013"
"TA1309000010","Wabash Ave & 9th St","41.8707572559310071","-87.6257367788421374","13920","8881","5039"
"RN-","Franklin St & Illinois St","41.8910224332208991","-87.6354710210029817","13909","9359","4550"
"15529","Mies van der Rohe Way & Chestnut St","41.8985779336286607","-87.6219897896080514","13839","8180","5659"
"13338","Mies van der Rohe Way & Chicago Ave","41.8969762912074028","-87.6217597951930330","13838","9508","4330"
"15539","Desplaines St & Jackson Blvd","41.8781245355030196","-87.6439911435436627","13800","10486","3314"
"TA1309000036","Burling St & Diversey Pkwy","41.9331241790727511","-87.6477560711639709","13796","9486","4310"
"TA1308000019","Racine Ave & Belmont Ave","41.9397198548432476","-87.6588662059608687","13607","7996","5611"
"TA1307000127","Clark St & Grace St","41.9507956061720839","-87.6591811359392738","13554","7677","5877"
"13221","Wood St & Milwaukee Ave","41.9076414041597909","-87.6725356936915754","13481","9061","4420"
